job_position,technology_skills,knowledge,skills
,Microsoft PowerPoint Project management software,,Persuasion
,Microsoft SharePoint Spreadsheet software,,Systems Analysis
,Microsoft Excel Word processing software,,Management of Material Resources
,Microsoft Word ,,Mathematics
"Education Administrators, Postsecondary",Accounting software,English Language,Critical Thinking
,Fund accounting software ,Administration and Management,Reading Comprehension
,Sage 50 Accounting Analytical or scientific software,Education and Training,Active Listening
,IBM SPSS Statistics ,Customer and Personal Service,Instructing
,Minitab ,Personnel and Human Resources,Monitoring
,SAS ,Clerical,Speaking
,StataCorp Stata Customer relationship management CRM software,Computers and Electronics,Time Management
,Blackbaud The Raiser's Edge Data base reporting software,Communications and Media,Writing
,SAP BusinessObjects Crystal Reports Data base user interface and query software,Mathematics,Active Learning
,Blackboard ,Psychology,Complex Problem Solving
,Microsoft Access ,,Judgment and Decision Making
,Student and Exchange Visitor Information System SEVIS; Student information systems SIS  (see all 7 examples)Desktop publishing software,,Learning Strategies
,Microsoft Publisher Electronic mail software,,Management of Personnel Resources
,Microsoft Outlook Enterprise resource planning ERP software  ,,Social Perceptiveness
,Ellucian Colleague; Oracle PeopleSoft ,,Coordination
,SAP ,,Negotiation
,SunGard Higher Education Banner Unified Digital Campus  (see all 7 examples)Facilities management software,,Persuasion
,CollegeNET Schedule 25 Graphics or photo imaging software,,Service Orientation
,Microsoft Visio Human resources software,,Systems Analysis
,Human resource management software HRMS Internet browser software,,Systems Evaluation
,Web browser software Office suite software,,Management of Financial Resources
,Microsoft Office Presentation software,,
,Microsoft PowerPoint Project management software,,
,Ellucian Degree Works; Microsoft Project ,,
,Microsoft SharePoint Spreadsheet software,,
,Microsoft Excel Video creation and editing software,,
,YouTube Web page creation and editing software,,
,Adobe Systems Adobe Dreamweaver ,,
,Facebook ,,
,LinkedIn Web platform development software,,
,Hypertext markup language HTML Word processing software,,
,Microsoft Word ,,
"Education Administrators, Preschool and Childcare Center/Program",Accounting software,Customer and Personal Service,Active Listening
,Intuit QuickBooks ,Education and Training,Coordination
,Intuit Quicken Data base user interface and query software,Administration and Management,Critical Thinking
,Auburn Software Debit Square Desktop publishing software,English Language,Monitoring
,Microsoft Publisher Electronic mail software,Psychology,Reading Comprehension
,Microsoft Outlook Enterprise resource planning ERP software  ,Public Safety and Security,Speaking
,ACS Technologies HeadMaster; B&I Computer Consultants Childcare Sage; SofterWare EZ-CARE2; The Gallagher Group DataCare  (see all 20 examples)Internet browser software,Personnel and Human Resources,Complex Problem Solving
,Web browser software Office suite software,Sales and Marketing,Instructing
,Microsoft Office Presentation software,Clerical,Judgment and Decision Making
,Microsoft PowerPoint Spreadsheet software,Mathematics,Service Orientation
,Microsoft Excel Word processing software,Economics and Accounting,Social Perceptiveness
,Microsoft Word ,Computers and Electronics,Management of Personnel Resources
,,,Time Management
,,,Writing
,,,Learning Strategies
,,,Negotiation
,,,Active Learning
,,,Persuasion
,,,Management of Financial Resources
,,,Management of Material Resources
,,,Systems Analysis
,,,Systems Evaluation
Fitness and Wellness Coordinators,Calendar and scheduling software,Customer and Personal Service,Coordination
,Work scheduling software Data base user interface and query software,English Language,Critical Thinking
,Data entry software ,Administration and Management,Social Perceptiveness
,MicroFit HealthWizard Desktop publishing software,Education and Training,Speaking
,Microsoft Publisher Document management software,Psychology,Active Listening
,Adobe Systems Adobe Acrobat Electronic mail software,Sales and Marketing,Reading Comprehension
,Email software Internet browser software,Communications and Media,Management of Personnel Resources
,Web browser software Office suite software,Personnel and Human Resources,Service Orientation
,Microsoft Office Presentation software,,Writing
,Microsoft PowerPoint Spreadsheet software,,Active Learning
,Microsoft Excel Time accounting software,,Judgment and Decision Making
,Payroll software Word processing software,,Monitoring
,Microsoft Word ,,Persuasion
,,,Complex Problem Solving
,,,Instructing
,,,Learning Strategies
,,,Negotiation
,,,Time Management
,,,Systems Analysis
Archivists,Data base user interface and query software,English Language,Reading Comprehension
,DiMeMa CONTENTdm; Gallery Systems The Museum System; Microsoft Access ,History and Archeology,Active Listening
,PREMIS  (see all 8 examples)Development environment software,Computers and Electronics,Writing
,Encoded Archival System EAD Document management software,Customer and Personal Service,Judgment and Decision Making
,Adobe Systems Adobe Acrobat Electronic mail software,Administration and Management,Active Learning
,Microsoft Outlook Enterprise application integration software,Clerical,Critical Thinking
,Extensible markup language XML Graphics or photo imaging software,Law and Government,Complex Problem Solving
,Adobe Systems Adobe Photoshop ,,Speaking
,Corel Paint Shop Pro Internet browser software,,Time Management
,Web browser software Office suite software,,Coordination
,Microsoft Office Presentation software,,Monitoring
,Microsoft PowerPoint Spreadsheet software,,Service Orientation
,Microsoft Excel Video creation and editing software,,Social Perceptiveness
,Adobe Systems Adobe Premiere Pro; Apple Final Cut Pro Web platform development software,,
,Dynamic hypertext markup language DHTML ,,
,Hypertext markup language HTML Word processing software,,
,Microsoft Word ,,
Audio-Visual and Multimedia Collections Specialists,Data base user interface and query software,Computers and Electronics,Active Listening
,Microsoft Access Desktop publishing software,Communications and Media,Critical Thinking
,Adobe Systems Adobe InDesign ,Customer and Personal Service,Judgment and Decision Making
,Microsoft Publisher Document management software,English Language,Speaking
,Adobe Systems Adobe Acrobat Electronic mail software,Education and Training,Time Management
,Microsoft Outlook Graphics or photo imaging software,Telecommunications,Troubleshooting
,Adobe Systems Adobe Photoshop ,Administration and Management,Complex Problem Solving
,Microsoft Visio Internet browser software,Clerical,Coordination
,Web browser software Office suite software,,Equipment Maintenance
,Microsoft Office Presentation software,,Writing
,Microsoft PowerPoint Spreadsheet software,,Active Learning
,Microsoft Excel Video creation and editing software,,Instructing
,Apple Final Cut Pro Word processing software,,Learning Strategies
,Microsoft Word ,,Monitoring
,,,Operation Monitoring
,,,Reading Comprehension
,,,Systems Analysis
Curators,Calendar and scheduling software,English Language,Reading Comprehension
,Scheduling software Computer aided design CAD software  ,History and Archeology,Speaking
,Autodesk AutoCAD Data base user interface and query software,Fine Arts,Active Listening
,Artsystems Collections; FileMaker Pro ,Administration and Management,Writing
,Microsoft Access ,Sociology and Anthropology,Critical Thinking
,Vernon Systems Limited Vernon CMS  (see all 14 examples)Desktop publishing software,Communications and Media,Complex Problem Solving
,Adobe Systems Adobe InDesign Development environment software,Clerical,Active Learning
,Microsoft Visual Studio Electronic mail software,Education and Training,Judgment and Decision Making
,Microsoft Outlook Graphics or photo imaging software,Customer and Personal Service,Monitoring
,Adobe Systems Adobe Freehand; Adobe Systems Adobe Photoshop ,Geography,Systems Analysis
,Graphics software; Microsoft Paint Internet browser software,Philosophy and Theology,Learning Strategies
,Web browser software Office suite software,,Social Perceptiveness
,Corel WordPerfect; Microsoft Office Presentation software,,Systems Evaluation
,Microsoft PowerPoint Project management software,,Coordination
,Eloquent Systems Eloquent Spreadsheet software,,Time Management
,Microsoft Excel Word processing software,,Instructing
,Microsoft Word ,,Management of Material Resources
,,,Management of Personnel Resources
,,,Negotiation
,,,Persuasion
"Educational, Guidance, School, and Vocational Counselors",Analytical or scientific software,Therapy and Counseling,Active Listening
,ACT WorkKeys; Computerized diagnostic programs; Computerized testing programs; Counseling software  (see all 7 examples)Customer relationship management CRM software,Psychology,Social Perceptiveness
,Blackbaud The Raiser's Edge Data base reporting software,Education and Training,Speaking
,Microsoft SQL Server Reporting Services Data base user interface and query software,English Language,Reading Comprehension
,FileMaker Pro ,Clerical,Service Orientation
,Microsoft Access ,Customer and Personal Service,Critical Thinking
,Social Solutions ETO; Student information systems SIS  (see all 21 examples)Desktop publishing software,Sociology and Anthropology,Writing
,Microsoft Publisher Development environment software,,Active Learning
,Adobe Systems Adobe ActionScript Electronic mail software,,Complex Problem Solving
,Email software; Microsoft Outlook ,,Coordination
,Yahoo! Email Enterprise resource planning ERP software  ,,Instructing
,Microsoft Dynamics ,,Judgment and Decision Making
,Oracle PeopleSoft Graphics or photo imaging software,,Persuasion
,Adobe Systems Adobe Photoshop Human resources software,,Learning Strategies
,Oracle Taleo Information retrieval or search software,,Monitoring
,LexisNexis Instant messaging softwareInternet browser software,,Negotiation
,Microsoft Internet Explorer; Web browser software Medical software,,Time Management
,Athena Software Penelope Case Management Network conferencing software,,Systems Analysis
,Chat software Network monitoring software,,Systems Evaluation
,Computer-assisted live supervision Office suite software,,Management of Personnel Resources
,Microsoft Office Presentation software,,
,Blackboard Wimba; Microsoft PowerPoint ,,
,Prezi Project management software,,
,Microsoft SharePoint ,,
,Palm Pal Transana; Productivity software Spreadsheet software,,
,EZAnalyze; Microsoft Excel Video conferencing software,,
,Citrix GoToMeeting Web page creation and editing software,,
,Facebook ,,
,LinkedIn ,,
,Orbius; Web page design and editing software Web platform development software,,
,Ext JS Word processing software,,
,Microsoft Word ,,
Instructional Coordinators,Charting software,Education and Training,Learning Strategies
,SmartDraw VP Computer based training software,English Language,Instructing
,Adobe Systems Adobe Captivate; Articulate Rapid E-Learning Studio; Moodle Data base management system software,Administration and Management,Speaking
,Oracle PL/SQL Data base user interface and query software,Mathematics,Writing
,Blackboard ,Computers and Electronics,Active Listening
,Structured query language SQL Desktop publishing software,Customer and Personal Service,Monitoring
,Adobe Systems Adobe FrameMaker; Adobe Systems Adobe InDesign ,Public Safety and Security,Reading Comprehension
,Microsoft Publisher Development environment software,Personnel and Human Resources,Active Learning
,Adobe Systems Adobe ActionScript Document management software,Communications and Media,Complex Problem Solving
,Adobe Systems Adobe Acrobat Electronic mail software,Sociology and Anthropology,Coordination
,Email software Enterprise application integration software,Philosophy and Theology,Critical Thinking
,Extensible markup language XML Graphics or photo imaging software,Psychology,Social Perceptiveness
,Adobe Systems Adobe Fireworks ,Clerical,Judgment and Decision Making
,Adobe Systems Adobe Flash ,,Service Orientation
,Adobe Systems Adobe Photoshop ,,Time Management
,Microsoft Visio  (see all 5 examples)Internet browser software,,Persuasion
,Web browser software Object or component oriented development software,,Systems Analysis
,Oracle Java Office suite software,,Systems Evaluation
,Corel WordPerfect Office Suite; Microsoft Office Presentation software,,Management of Personnel Resources
,Microsoft PowerPoint Project management software,,Negotiation
,Microsoft SharePoint Spreadsheet software,,
,IBM Lotus 1-2-3; Microsoft Excel Web page creation and editing software,,
,Adobe Systems Adobe Dreamweaver ,,
,Adobe Systems Adobe Flash Player Web platform development software,,
,Hypertext markup language HTML ,,
,JavaScript Word processing software,,
,Microsoft Word ,,
Instructional Designers and Technologists,Analytical or scientific software,Education and Training,Reading Comprehension
,SAS Computer aided design CAD software  ,English Language,Instructing
,PTC Creo Parametric Computer based training software,Communications and Media,Learning Strategies
,Blackboard Learn; Moodle; Trivantis CourseMill; Worldwide Instructional Design System WIDS  (see all 14 examples)Data base user interface and query software,Computers and Electronics,Writing
,Blackboard ,Customer and Personal Service,Critical Thinking
,Microsoft Access Desktop publishing software,Design,Active Listening
,Adobe Systems Adobe FrameMaker; Adobe Systems Adobe InDesign ,Psychology,Judgment and Decision Making
,Microsoft Publisher ,Administration and Management,Monitoring
,Performance Technology Associates DocuTools Development environment software,Telecommunications,Speaking
,Adobe Systems Adobe ActionScript ,,Active Learning
,Adobe Systems Adobe AIR Document management software,,Complex Problem Solving
,Adobe Systems Adobe Acrobat ,,Time Management
,Vasont Content Management System Electronic mail software,,Service Orientation
,Email software; Microsoft Outlook Enterprise application integration software,,Social Perceptiveness
,Extensible markup language XML Graphical user interface development software,,Systems Analysis
,Adobe Systems Adobe RoboHelp Graphics or photo imaging software,,Systems Evaluation
,Adobe Systems Adobe Creative Cloud ,,Coordination
,Adobe Systems Adobe Photoshop ,,Management of Personnel Resources
,Microsoft Visio ,,Persuasion
,TechSmith Snagit  (see all 7 examples)Internet browser software,,Negotiation
,Web browser software Medical software,,
,Epic Systems Music or sound editing software,,
,Audacity; Sony Sound Forge Network conferencing software,,
,Adobe Systems Adobe Connect; Microsoft Office SharePoint Server MOSS; Webinar software Object or component oriented development software,,
,Practical extraction and reporting language Perl Office suite software,,
,Microsoft Office Presentation software,,
,Adobe Systems Adobe Presenter; Microsoft PowerPoint Project management software,,
,etouches; Microsoft Project Spreadsheet software,,
,Microsoft Excel Video creation and editing software,,
,Adobe Systems Adobe AfterEffects ,,
,Apple Final Cut Pro ,,
,Avid Technology Pinnacle Studio; TechSmith Camtasia  (see all 6 examples)Web page creation and editing software,,
,Adobe Systems Adobe Dreamweaver ,,
,IXL Learning Quia Web; Nvu; SeaMonkey  (see all 5 examples)Web platform development software,,
,Cascading Style Sheets CSS ,,
,Dynamic hypertext markup language DHTML ,,
,Hypertext markup language HTML ,,
,JavaScript  (see all 6 examples)Word processing software,,
,Microsoft Word ,,
Interpreters and Translators,Data base user interface and query software,English Language,Active Listening
,Microsoft Access Dictionary software,Foreign Language,Speaking
,Electronic dictionaries Electronic mail software,Customer and Personal Service,Reading Comprehension
,Microsoft Outlook Foreign language software,Communications and Media,Writing
,AceTools.biz Ace Translator; Adapt It; Smart Link Corporation ImTranslator; Stormdance CatsCradle  (see all 15 examples)Internet browser software,Law and Government,Critical Thinking
,Web browser software Office suite software,Education and Training,Monitoring
,Microsoft Office Presentation software,Computers and Electronics,Active Learning
,Microsoft PowerPoint Spreadsheet software,Clerical,Coordination
,Microsoft Excel Web platform development software,Sociology and Anthropology,Instructing
,Extensible HyperText Markup Language XHTML ,Telecommunications,Judgment and Decision Making
,Hypertext markup language HTML Word processing software,,Learning Strategies
,Microsoft Word ,,Service Orientation
,,,Social Perceptiveness
,,,Complex Problem Solving
,,,Time Management
Librarians,Analytical or scientific software,Customer and Personal Service,Reading Comprehension
,StataCorp Stata Data base user interface and query software,English Language,Active Listening
,Ex Libris Group Aleph; Microsoft Access ,Clerical,Speaking
,Structured query language SQL ,Computers and Electronics,Writing
,Thomson Scientific Dialog  (see all 15 examples)Desktop publishing software,Education and Training,Critical Thinking
,Microsoft Publisher Document management software,Administration and Management,Monitoring
,Adobe Systems Adobe Acrobat Electronic mail software,Communications and Media,Instructing
,Email software Enterprise application integration software,,Judgment and Decision Making
,Extensible markup language XML Graphics or photo imaging software,,Active Learning
,Adobe Systems Adobe Photoshop Information retrieval or search software,,Complex Problem Solving
,Classification Web; LexisNexis ,,Service Orientation
,Westlaw Internet browser software,,Social Perceptiveness
,Web browser software Library software,,Systems Analysis
,Online Computer Library Center OCLC; RCL Software Media Library Manager; Surpass; WorldCat  (see all 17 examples)Object or component oriented development software,,Time Management
,Oracle Java Office suite software,,Coordination
,Microsoft Office Presentation software,,Learning Strategies
,Microsoft PowerPoint Project management software,,Systems Evaluation
,Microsoft SharePoint Spreadsheet software,,
,Microsoft Excel Video creation and editing software,,
,Apple Final Cut Pro ,,
,Apple iMovie Web page creation and editing software,,
,Adobe Systems Adobe Dreamweaver ,,
,Really Simple Syndication RSS; Wiki software; Yahoo Flickr  (see all 7 examples)Web platform development software,,
,Cascading Style Sheets CSS ,,
,Hypertext markup language HTML ,,
,JavaScript ,,
,Springshare LibGuides  (see all 7 examples)Word processing software,,
,Microsoft Word ,,
Library Technicians,Data base user interface and query software,,Reading Comprehension
,Ex Libris Group Aleph; Inmagic TextWorks; Microsoft Access ,,Active Listening
,National Library of Medicine Medline  (see all 6 examples)Desktop publishing software,,Speaking
,Microsoft Publisher Document management software,,Service Orientation
,Adobe Systems Adobe Acrobat Electronic mail software,,Coordination
,Email software Internet browser software,,Critical Thinking
,Web browser software Library software,,Learning Strategies
,Online Computer Library Center OCLC; SirsiDynix Symphony; WebClarity Software BookWhere; WorldCat  (see all 8 examples)Office suite software,,Social Perceptiveness
,Microsoft Office Presentation software,,
,Microsoft PowerPoint Spreadsheet software,,
,Microsoft Excel Web page creation and editing software,,
,Adobe Systems Adobe Dreamweaver Word processing software,,
,HandyFile Find and Replace Text Aid Kit; Microsoft Word ,,
Museum Technicians and Conservators,Data base user interface and query software,Fine Arts,Active Listening
,Gallery Systems EmbARK; PastPerfect Software PastPerfect; Questor Systems ARGUS; Questor Systems QScan32 Electronic mail software,English Language,Reading Comprehension
,Microsoft Outlook Graphics or photo imaging software,Public Safety and Security,Speaking
,Adobe Systems Adobe Photoshop Object oriented data base management software,History and Archeology,Critical Thinking
,Microsoft Visual FoxPro Office suite software,Administration and Management,Writing
,Microsoft Office Spreadsheet software,Chemistry,Complex Problem Solving
,Microsoft Excel Word processing software,,Judgment and Decision Making
,Microsoft Word ,,Monitoring
,,,Active Learning
,,,Coordination
,,,Instructing
Adapted Physical Education Specialists,,Education and Training,Active Listening
,,Psychology,Instructing
,,Law and Government,Service Orientation
,,English Language,Reading Comprehension
,,Therapy and Counseling,Social Perceptiveness
,,Sociology and Anthropology,Speaking
,,Customer and Personal Service,Monitoring
,,,Judgment and Decision Making
,,,Learning Strategies
,,,Writing
,,,Active Learning
,,,Critical Thinking
,,,Time Management
,,,Coordination
,,,Persuasion
,,,Complex Problem Solving
,,,Systems Evaluation
,,,Management of Personnel Resources
,,,Systems Analysis
Adult Basic and Secondary Education and Literacy Teachers and Instructors,Computer based training software,,Instructing
,Computerized testing software; Educational software Data base user interface and query software,,Active Listening
,Data entry software Desktop publishing software,,Learning Strategies
,Microsoft Publisher Electronic mail software,,Reading Comprehension
,Microsoft Outlook Enterprise resource planning ERP software  ,,Speaking
,SAP Graphics or photo imaging software,,Monitoring
,Adobe Systems Adobe Photoshop Internet browser software,,Writing
,Web browser software Office suite software,,Active Learning
,Microsoft Office Presentation software,,Critical Thinking
,Microsoft PowerPoint Spreadsheet software,,Social Perceptiveness
,Microsoft Excel Word processing software,,Judgment and Decision Making
,Microsoft Word ,,Service Orientation
,,,Time Management
,,,Complex Problem Solving
,,,Coordination
,,,Negotiation
"Agricultural Sciences Teachers, Postsecondary",Calendar and scheduling softwareComputer based training software,Education and Training,Instructing
,Blackboard Learn; Desire2Learn; Learning management system LMS; Sakai CLE  (see all 5 examples)Data base user interface and query software,English Language,Speaking
,Data entry software ,Biology,Reading Comprehension
,Data management software; Database software Electronic mail software,Mathematics,Active Listening
,Email software; Microsoft Outlook Information retrieval or search software,Computers and Electronics,Learning Strategies
,DOC Cop; iParadigms Turnitin Internet browser software,Customer and Personal Service,Active Learning
,Web browser software Office suite software,Administration and Management,Writing
,Microsoft Office Optical character reader OCR or scanning software,,Critical Thinking
,Image scanning software Presentation software,,Judgment and Decision Making
,Microsoft PowerPoint Spreadsheet software,,Monitoring
,Microsoft Excel Web page creation and editing software,,Complex Problem Solving
,Web page design software Word processing software,,Coordination
,Collaborative editing software; Google Docs; Microsoft Word ,,Time Management
,,,Science
,,,Social Perceptiveness
,,,Systems Evaluation
,,,Management of Personnel Resources
,,,Mathematics
,,,Service Orientation
"Anthropology and Archeology Teachers, Postsecondary",Analytical or scientific software,English Language,Speaking
,ESRI ArcGIS Geostatistical Analyst; ESRI ArcGIS Spatial Analyst; IBM SPSS Statistics Calendar and scheduling softwareComputer aided design CAD software  ,Sociology and Anthropology,Reading Comprehension
,ESRI ArcView 3D Analyst; GibbsCAM Computer based training software,Education and Training,Active Learning
,Blackboard Learn; Desire2Learn; Learning management system LMS; Sakai CLE  (see all 5 examples)Data base user interface and query software,History and Archeology,Active Listening
,Data entry software Development environment software,Geography,Critical Thinking
,Adobe Systems Adobe Creative Suite Document management software,Foreign Language,Instructing
,Adobe Systems Adobe Acrobat Electronic mail software,Philosophy and Theology,Learning Strategies
,Email software; Microsoft Outlook Graphics or photo imaging software,Computers and Electronics,Writing
,Adobe Systems Adobe Flash ,Communications and Media,Complex Problem Solving
,Adobe Systems Adobe Illustrator ,Biology,Judgment and Decision Making
,Adobe Systems Adobe Photoshop Information retrieval or search software,Clerical,Science
,DOC Cop; iParadigms Turnitin Internet browser software,Psychology,Time Management
,Web browser software Map creation software,,Monitoring
,ESRI ArcGIS software ,,Systems Evaluation
,ESRI ArcMap; ESRI ArcView; Golden Software Surfer  (see all 5 examples)Office suite software,,Social Perceptiveness
,Microsoft Office Optical character reader OCR or scanning software,,Systems Analysis
,Digitizing software; Image scanning software Presentation software,,Coordination
,Microsoft PowerPoint Spreadsheet software,,Persuasion
,Microsoft Excel Web page creation and editing software,,Service Orientation
,Adobe Systems Adobe Dreamweaver Web platform development software,,
,Adobe Systems Adobe Shockwave Player Word processing software,,
,Collaborative editing software; Google Docs; Microsoft Word ,,
"Architecture Teachers, Postsecondary",Analytical or scientific software,English Language,Instructing
,Autodesk Ecotect Analysis Calendar and scheduling softwareComputer aided design CAD software  ,Design,Active Listening
,Autodesk 3D Studio Design; Autodesk AutoCAD ,Building and Construction,Critical Thinking
,Autodesk Revit ,Education and Training,Learning Strategies
,McNeel Rhinoceros  (see all 6 examples)Computer based training software,Engineering and Technology,Reading Comprehension
,Blackboard Learn; Desire2Learn; Learning management system LMS; Sakai CLE  (see all 5 examples)Data base user interface and query software,Fine Arts,Speaking
,Data entry software Desktop publishing software,Mathematics,Writing
,Adobe Systems Adobe InDesign Development environment software,History and Archeology,Active Learning
,Adobe Systems Adobe Creative Suite Electronic mail software,Communications and Media,Complex Problem Solving
,Email software; Microsoft Outlook Graphics or photo imaging software,Computers and Electronics,Judgment and Decision Making
,Adobe Systems Adobe Illustrator ,Public Safety and Security,Monitoring
,Adobe Systems Adobe Photoshop ,Sociology and Anthropology,Social Perceptiveness
,Autodesk Mudbox; Blender Information retrieval or search software,Geography,Systems Analysis
,DOC Cop; iParadigms Turnitin Internet browser software,Personnel and Human Resources,Systems Evaluation
,Web browser software Office suite software,Philosophy and Theology,Time Management
,Microsoft Office Optical character reader OCR or scanning software,Physics,Coordination
,Image scanning software Presentation software,Law and Government,Persuasion
,Microsoft PowerPoint Spreadsheet software,Psychology,Service Orientation
,Microsoft Excel Word processing software,Administration and Management,
,Collaborative editing software; Microsoft Word ,,
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Calendar and scheduling softwareComputer based training software,Education and Training,Reading Comprehension
,Blackboard Learn; Desire2Learn; Learning management system LMS; Sakai CLE  (see all 5 examples)Data base user interface and query software,English Language,Speaking
,Data entry software Electronic mail software,Foreign Language,Active Listening
,Email software; Microsoft Outlook Information retrieval or search software,Sociology and Anthropology,Active Learning
,DOC Cop; iParadigms Turnitin Internet browser software,Computers and Electronics,Critical Thinking
,Web browser software Office suite software,History and Archeology,Instructing
,Microsoft Office Optical character reader OCR or scanning software,Customer and Personal Service,Learning Strategies
,Image scanning software Presentation software,Law and Government,Writing
,Microsoft PowerPoint Spreadsheet software,Psychology,Complex Problem Solving
,Microsoft Excel Word processing software,Geography,Judgment and Decision Making
,Collaborative editing software; Google Docs; Microsoft Word ,Philosophy and Theology,Monitoring
,,,Social Perceptiveness
,,,Science
,,,Time Management
,,,Coordination
,,,Management of Personnel Resources
,,,Service Orientation
"Art, Drama, and Music Teachers, Postsecondary",Calendar and scheduling softwareComputer aided design CAD software  ,Fine Arts,Speaking
,Autodesk Maya for Design Visualization Computer based training software,Education and Training,Instructing
,Blackboard Learn; Desire2Learn; Learning management system LMS; Sakai CLE  (see all 5 examples)Data base management system software,English Language,Active Learning
,MySQL Data base user interface and query software,History and Archeology,Active Listening
,Data entry software Desktop publishing software,Philosophy and Theology,Learning Strategies
,Adobe Systems Adobe InDesign ,Communications and Media,Reading Comprehension
,QuarkXpress Development environment software,Computers and Electronics,Time Management
,PhoneGap Electronic mail software,Psychology,Monitoring
,Email software; Microsoft Outlook Graphics or photo imaging software,,Critical Thinking
,Adobe Systems Adobe Illustrator ,,Writing
,Adobe Systems Adobe Photoshop ,,Social Perceptiveness
,Faux Labs Splashup; The Pixel Farm PFTrack  (see all 7 examples)Information retrieval or search software,,Complex Problem Solving
,DOC Cop; iParadigms Turnitin Internet browser software,,Judgment and Decision Making
,Web browser software Music or sound editing software,,Coordination
,Adobe Systems Adobe Audition; Apple Logic Pro; Pure Data PD; Sonic Studio  (see all 6 examples)Office suite software,,Service Orientation
,Microsoft Office Operating system software,,Management of Personnel Resources
,Linux Optical character reader OCR or scanning software,,
,Image scanning software Presentation software,,
,Microsoft PowerPoint Spreadsheet software,,
,Microsoft Excel Video creation and editing software,,
,Adobe Systems Adobe After Effects; Apple Final Cut Pro ,,
,Pixar RenderMan Studio; The Foundry Nuke  (see all 6 examples)Web page creation and editing software,,
,Adobe Systems Adobe Dreamweaver Web platform development software,,
,Cascading style sheets CSS ,,
,Hypertext markup language HTML ,,
,JavaScript ,,
,PHP: Hypertext Preprocessor Word processing software,,
,Collaborative editing software; Google Docs; Microsoft Word ,,
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Analytical or scientific software,Education and Training,Speaking
,Tecplot software; The MathWorks MATLAB ,English Language,Reading Comprehension
,WaveMetrics IGOR Pro; Wolfram Research Mathematica  (see all 18 examples)Calendar and scheduling softwareComputer aided design CAD software  ,Mathematics,Instructing
,Midland Valley Move Suite Computer based training software,Computers and Electronics,Science
,Blackboard Learn; Desire2Learn; Learning management system LMS; Sakai CLE  (see all 5 examples)Data base user interface and query software,Physics,Active Listening
,Data entry software ,Chemistry,Critical Thinking
,Thomson EndNote Development environment software,Geography,Learning Strategies
,National Instruments LabVIEW Electronic mail software,Biology,Writing
