job_position,technology_skills,knowledge,skills
, The Groomer's Write Hand  (see all 8 examples)Electronic mail software ,,
, Microsoft Outlook Office suite software ,,
, Microsoft Office Presentation software ,,
, Microsoft PowerPoint Spreadsheet software ,,
, Microsoft Excel Word processing software ,,
, Microsoft Word ,,
Environmental Engineering Technicians,Analytical or scientific software ,Engineering and Technology,Active Listening
, HEC RAS,Customer and Personal Service,Critical Thinking
, Maplesoft Maple,Mathematics,Reading Comprehension
, Visual MODFLOW Pro,English Language,Active Learning
, Wolfram Research Mathematica  (see all 31 examples)Categorization or classification software ,Chemistry,Monitoring
, GAEA Technologies WinSieve Compliance software ,Mechanical,Science
, Hazardous materials management HMS software,Physics,Speaking
, Material safety data sheet MSDS software,Public Safety and Security,Judgment and Decision Making
, Site remediation management software,,Complex Problem Solving
, Waste management software  (see all 8 examples)Computer aided design CAD software   ,,Quality Control Analysis
, Autodesk AutoCAD  ,,Time Management
, Autodesk AutoCAD Civil 3D  ,,Writing
, Mathsoft Mathcad,,Coordination
, SofTech CADRA Data base user interface and query software ,,Learning Strategies
, Database software,,Management of Personnel Resources
, Microsoft Access Desktop publishing software ,,Mathematics
, Adobe Systems Adobe PageMaker Development environment software ,,Operation Monitoring
, Formula translation/translator FORTRAN,,Social Perceptiveness
, National Instruments LabVIEW Document management software ,,Systems Analysis
, Gel documentation software,,
, Microsoft Office SharePoint Server MOSS Electronic mail software ,,
, Email software Graphics or photo imaging software ,,
, Photogrammetric software Industrial control software ,,
, Fugitive emission leak detection software Internet browser softwareMap creation software ,,
, ESRI ArcGIS software  ,,
, Geomechanical design analysis GDA software,,
, Soil mapping software Object or component oriented development software ,,
, C++  ,,
, Python Office suite software ,,
, Microsoft Office Presentation softwareSpreadsheet software ,,
, Microsoft Excel Word processing software ,,
, Microsoft Word ,,
Environmental Engineers,Analytical or scientific software ,Engineering and Technology,Reading Comprehension
, DHI Water and Environment MIKE SHE,Chemistry,Critical Thinking
, RockWare MODFLOW,Mathematics,Active Learning
, The MathWorks MATLAB  ,English Language,Active Listening
, XP Software XPSWMM  (see all 25 examples)Compliance software ,Law and Government,Complex Problem Solving
, Greenhouse gas management software,Design,Judgment and Decision Making
, Hazardous materials management HMS software,Physics,Monitoring
, Material safety data sheet MSDS software,Public Safety and Security,Speaking
, Regulatory compliance management software  (see all 6 examples)Computer aided design CAD software   ,Biology,Writing
, Autodesk AutoCAD  ,Customer and Personal Service,Time Management
, Bentley Microstation  ,Building and Construction,Coordination
, Computer aided design and drafting software CADD,Administration and Management,Mathematics
, SofTech CADRA  (see all 5 examples)Data base user interface and query software ,Mechanical,Instructing
, Microsoft Access Development environment software ,Education and Training,Persuasion
, Formula translation/translator FORTRAN Graphics or photo imaging software ,Geography,Science
, Photogrammetric software Industrial control software ,Computers and Electronics,Social Perceptiveness
, Fugitive emission leak detection software Map creation software ,,Negotiation
, ESRI ArcGIS software  ,,Systems Evaluation
, ESRI ArcView,,Learning Strategies
, Geomechanical design analysis GDA software,,Service Orientation
, Oil mapping software Object or component oriented development software ,,Systems Analysis
, C++  ,,Management of Personnel Resources
, Python Office suite software ,,
, Microsoft Office Presentation software ,,
, Microsoft PowerPoint Project management software ,,
, Microsoft Project Spreadsheet software ,,
, Microsoft Excel Word processing software ,,
, Microsoft Word ,,
"Environmental Science and Protection Technicians, Including Health",Analytical or scientific software ,English Language,Active Listening
, FishXing,Biology,Critical Thinking
, Flood modeling software,Law and Government,Reading Comprehension
, HEC RAS,Mathematics,Speaking
, Visual OTTHYMO  (see all 7 examples)Computer aided design CAD software   ,Chemistry,Science
, Autodesk AutoCAD  ,Customer and Personal Service,Writing
, Autodesk Softdesk Data base user interface and query software ,Engineering and Technology,Complex Problem Solving
, Database software,Computers and Electronics,Judgment and Decision Making
, Microsoft Access Document management software ,Communications and Media,Monitoring
, Adobe Systems Adobe Acrobat Electronic mail software ,Geography,Social Perceptiveness
, Email software,Administration and Management,Time Management
, Microsoft Outlook Enterprise resource planning ERP software   ,Public Safety and Security,Active Learning
, SAP Graphics or photo imaging software ,Building and Construction,Mathematics
, Graphics software Internet browser software ,Education and Training,Operation Monitoring
, Web browser software Map creation software ,,Service Orientation
, ESRI ArcGIS software  ,,Coordination
, ESRI ArcView,,Instructing
, Geomechanical design analysis GDA software,,Learning Strategies
, Trimble GPS Pathfinder Office  (see all 7 examples)Office suite software ,,Persuasion
, Microsoft Office Presentation software ,,Systems Analysis
, Microsoft PowerPoint Project management software ,,
, Microsoft Project Spreadsheet software ,,
, Microsoft Excel Word processing software ,,
, Microsoft Word ,,
Hazardous Materials Removal Workers,Data base user interface and query software ,Public Safety and Security,Monitoring
, Database software Enterprise resource planning ERP software   ,Administration and Management,Critical Thinking
, SAP Facilities management software ,Customer and Personal Service,Operation and Control
, Computerized maintenance management system software CMMS Internet browser softwareOffice suite software ,Transportation,Active Listening
, Microsoft Office Presentation software ,Building and Construction,Operation Monitoring
, Microsoft PowerPoint Spreadsheet software ,Mechanical,Reading Comprehension
, Microsoft Excel Word processing software,English Language,Speaking
,,,Active Learning
,,,Complex Problem Solving
,,,Coordination
,,,Judgment and Decision Making
,,,Quality Control Analysis
,,,Social Perceptiveness
,,,Time Management
,,,Writing
Pest Control Workers,Accounting software ,,Active Listening
, Intuit QuickBooks Calendar and scheduling software ,,Critical Thinking
, Work scheduling software Data base user interface and query software ,,Monitoring
, Database software,,Speaking
, Marathon Data Systems PestPac Electronic mail software ,,Writing
, Email software Inventory management software ,,Time Management
, Supply inventory software Office suite software ,,Social Perceptiveness
, Microsoft Office Project management software ,,Complex Problem Solving
, Microsoft SharePoint Spreadsheet software ,,Service Orientation
, Microsoft Excel Video creation and editing software ,,Active Learning
, YouTube Word processing software ,,Coordination
, Microsoft Word  ,,Judgment and Decision Making
, Report writing software ,,Negotiation
,,,Persuasion
,,,Management of Personnel Resources
,,,Operation and Control
,,,Operation Monitoring
,,,Reading Comprehension
Refuse and Recyclable Material Collectors,,,Operation and Control
,,,Coordination
,,,Critical Thinking
,,,Equipment Maintenance
,,,Operation Monitoring
,,,Speaking
Water and Wastewater Treatment Plant and System Operators,Compliance software ,Chemistry,Operation Monitoring
, Material safety data sheet MSDS software Data base user interface and query software ,Biology,Operation and Control
, Data logging software,Mechanical,Monitoring
, Database software Document management software ,Mathematics,Active Listening
, Records management software Industrial control software ,Production and Processing,Quality Control Analysis
, Human machine interface HMI software,Public Safety and Security,Critical Thinking
, Supervisory control and data acquisition SCADA software,Engineering and Technology,Equipment Maintenance
, Wastewater expert control systems Office suite software ,Administration and Management,Repairing
, Microsoft Office Spreadsheet software ,Computers and Electronics,Speaking
, Microsoft Excel Time accounting software ,Clerical,Troubleshooting
, Timekeeping software Word processing software ,Education and Training,Judgment and Decision Making
, Microsoft Word ,English Language,Reading Comprehension
,,Customer and Personal Service,Complex Problem Solving
,,,Mathematics
,,,Systems Evaluation
,,,Time Management
Water/Wastewater Engineers,Analytical or scientific software ,Engineering and Technology,Complex Problem Solving
, KYPipe,Design,Critical Thinking
, Minitab  ,Mathematics,Mathematics
, NIWA Tideda,English Language,Active Listening
, Wallingford Software InfoWorks WS  (see all 14 examples)Computer aided design CAD software   ,Building and Construction,Judgment and Decision Making
, Autodesk AutoCAD Civil 3D  ,Physics,Reading Comprehension
, Bentley SewerCAD,Chemistry,Speaking
, Eagle Point LANDCADD,Customer and Personal Service,Writing
, HydroCAD Software Solutions HydroCAD  (see all 10 examples)Data base user interface and query software ,Biology,Science
, Microsoft Access  ,Administration and Management,Systems Analysis
, Structured query language SQL Internet browser software ,Computers and Electronics,Monitoring
, Google Chrome,Mechanical,Systems Evaluation
, Microsoft Internet Explorer,Law and Government,Time Management
, Mozilla Firefox,Sales and Marketing,Active Learning
, Web browser software Map creation software ,Public Safety and Security,Coordination
, ESRI ArcGIS software  ,,Operations Analysis
, MapInfo Office suite software ,,Management of Personnel Resources
, Microsoft Office Presentation software ,,Persuasion
, Microsoft PowerPoint Project management software ,,Instructing
, Microsoft Project Spreadsheet software ,,Learning Strategies
, Microsoft Excel Word processing software ,,Social Perceptiveness
, Microsoft Word ,,Technology Design
Agricultural Technicians,Analytical or scientific software ,Mathematics,Reading Comprehension
, Statistical software Data base user interface and query software ,Biology,Active Listening
, Data entry software Desktop publishing softwareElectronic mail software ,Chemistry,Complex Problem Solving
, Email software Enterprise resource planning ERP software   ,Administration and Management,Critical Thinking
, SAP Internet browser software ,English Language,Writing
, Web browser software Office suite software ,Clerical,Mathematics
, Microsoft Office Presentation software ,Computers and Electronics,Monitoring
, Microsoft PowerPoint Spreadsheet software ,Education and Training,Active Learning
, Microsoft Excel Word processing software,Geography,Coordination
,,Mechanical,Instructing
,,Personnel and Human Resources,Judgment and Decision Making
,,,Science
,,,Speaking
,,,Time Management
First-Line Supervisors of Agricultural Crop and Horticultural Workers,Calendar and scheduling software ,Production and Processing,Active Listening
, Work scheduling software Enterprise resource planning ERP software Internet browser software ,Administration and Management,Judgment and Decision Making
, Web browser software Office suite software ,Biology,Critical Thinking
, Microsoft Office Presentation software ,Education and Training,Monitoring
, Microsoft PowerPoint Spreadsheet software ,Food Production,Coordination
, Microsoft Excel Time accounting software ,Chemistry,Social Perceptiveness
, Payroll software Word processing software ,Customer and Personal Service,Speaking
, Microsoft Word ,Mechanical,Management of Personnel Resources
,,Personnel and Human Resources,Operation and Control
,,Mathematics,Operation Monitoring
,,English Language,Complex Problem Solving
,,Foreign Language,Instructing
,,,Persuasion
,,,Quality Control Analysis
,,,Reading Comprehension
,,,Time Management
,,,Active Learning
,,,Learning Strategies
,,,Negotiation
,,,Service Orientation
,,,Writing
First-Line Supervisors of Animal Husbandry and Animal Care Workers,Accounting software ,,Management of Personnel Resources
, Sage 50 Accounting Calendar and scheduling software ,,Active Listening
, Employee scheduling software Data base user interface and query software ,,Coordination
, Cattlesoft CattleMax,,Critical Thinking
, Data entry software  ,,Judgment and Decision Making
, Lion Edge Technologies Ranch Manager,,Monitoring
, Valley Agricultural Software DairyCOMP 305 Enterprise resource planning ERP software   ,,Speaking
, Midwest MicroSystems Cow Sense Expert system software ,,Social Perceptiveness
, Valley Agricultural Software Feed Watch Office suite software ,,Time Management
, Microsoft Office Spreadsheet software ,,Active Learning
, Microsoft Excel Word processing software ,,Instructing
, Microsoft Word ,,Reading Comprehension
,,,Learning Strategies
,,,Complex Problem Solving
,,,Writing
,,,Negotiation
,,,Operation and Control
,,,Operation Monitoring
,,,Persuasion
,,,Service Orientation
First-Line Supervisors of Aquacultural Workers,Calendar and scheduling software ,Biology,Active Listening
, Work scheduling software Data base user interface and query software ,Administration and Management,Critical Thinking
, Data entry software Electronic mail software ,English Language,Judgment and Decision Making
, Microsoft Outlook Presentation software ,Chemistry,Management of Personnel Resources
, Microsoft PowerPoint Spreadsheet software ,Personnel and Human Resources,Monitoring
, Microsoft Excel Word processing software ,Engineering and Technology,Speaking
, Microsoft Word ,Food Production,Time Management
,,Mathematics,Coordination
,,Mechanical,Social Perceptiveness
,,Production and Processing,Complex Problem Solving
,,Building and Construction,Reading Comprehension
,,Clerical,Writing
,,Customer and Personal Service,Active Learning
,,Law and Government,Persuasion
,,Education and Training,Systems Analysis
,,,Systems Evaluation
,,,Instructing
,,,Operation Monitoring
,,,Quality Control Analysis
,,,Learning Strategies
,,,Management of Material Resources
,,,Mathematics
,,,Negotiation
First-Line Supervisors of Logging Workers,Accounting software ,,Monitoring
, BCS Woodlands Software The Logger Tracker Data base user interface and query software ,,Active Listening
, Database software Inventory management software ,,Speaking
, Landmark Sales LOG-istics,,Time Management
, TradeTec Computer Systems TallyWorks Logs Map creation software ,,Coordination
, Mapping software Office suite software ,,Management of Personnel Resources
, Microsoft Office Spreadsheet softwareWord processing software,,Operation and Control
,,,Operation Monitoring
,,,Complex Problem Solving
,,,Critical Thinking
,,,Judgment and Decision Making
,,,Reading Comprehension
,,,Instructing
,,,Active Learning
,,,Persuasion
,,,Quality Control Analysis
,,,Service Orientation
,,,Social Perceptiveness
,,,Systems Analysis
,,,Systems Evaluation
,,,Troubleshooting
,,,Writing
Food Science Technicians,Data base user interface and query software ,Production and Processing,Active Listening
, Database software,Customer and Personal Service,Reading Comprehension
, Microsoft Access Electronic mail software ,Chemistry,Speaking
, Microsoft Outlook Graphics or photo imaging software ,Clerical,Writing
, Graphics software Office suite software ,English Language,Critical Thinking
, Microsoft Office Presentation software ,Computers and Electronics,Science
, Microsoft PowerPoint Spreadsheet software ,Food Production,Complex Problem Solving
, Microsoft Excel Word processing software ,Education and Training,Quality Control Analysis
, Microsoft Word ,,Active Learning
,,,Coordination
,,,Judgment and Decision Making
,,,Monitoring
,,,Time Management
Food Scientists and Technologists,Analytical or scientific software ,Production and Processing,Active Listening
, BioDiscovery ImaGene,Chemistry,Reading Comprehension
, Insightful S-PLUS,Food Production,Writing
, MDS Analytical Technologies GenePix Pro,Biology,Active Learning
, STATISTICA  (see all 6 examples)Data base user interface and query software ,English Language,Critical Thinking
, PathogenTracker,Mathematics,Speaking
, U.S. Department of Agriculture USDA National Nutrient Database Enterprise resource planning ERP software   ,Engineering and Technology,Complex Problem Solving
, SAP Office suite software ,Physics,Monitoring
, Microsoft Office Presentation software ,Law and Government,Judgment and Decision Making
, Microsoft PowerPoint Spreadsheet software ,Administration and Management,Coordination
, Microsoft Excel Word processing software ,Education and Training,Quality Control Analysis
, Microsoft Word ,,Systems Analysis
,,,Instructing
,,,Social Perceptiveness
,,,Time Management
,,,Management of Personnel Resources
,,,Mathematics
,,,Negotiation
,,,Persuasion
,,,Science
,,,Systems Evaluation
,,,Learning Strategies
Clinical Research Coordinators,Accounting software ,,Active Listening
, Budgeting software Analytical or scientific software ,,Coordination
, InferMed MACRO Electronic Data Capture,,Reading Comprehension
, SAS  ,,Writing
, StataCorp Stata  ,,Speaking
, The MathWorks MATLAB  (see all 7 examples)Calendar and scheduling software ,,Critical Thinking
, Scheduling software Categorization or classification software ,,Judgment and Decision Making
, Drug coding software Data base user interface and query software ,,Management of Personnel Resources
, FileMaker Pro  ,,Monitoring
, Microsoft Access  ,,Time Management
, Oracle Clinical,,Active Learning
, PPD Patient Profiles  (see all 21 examples)Electronic mail software ,,Complex Problem Solving
, Microsoft Outlook Internet browser software ,,Social Perceptiveness
, Web browser software Medical software ,,Service Orientation
, Patient tracking software Object or component oriented development software ,,Instructing
, R Office suite software ,,Negotiation
, Microsoft Office Presentation software ,,Persuasion
, Microsoft PowerPoint Project management software ,,Learning Strategies
, Microsoft Project Spreadsheet software ,,
, Microsoft Excel Word processing software ,,
, Microsoft Word ,,
Fallers,Accounting software ,,
, BCS Woodlands Software The Logger Tracker Analytical or scientific software ,,
, Assisi Software Assisi Compiler,,
, Assisi Software Assisi Resource Data base user interface and query software ,,
, Assisi Software Assisi Manager Enterprise resource planning ERP software   ,,
, BCS Woodlands Software Woodlands Tracker Inventory management software ,,
, Assisi Software Assisi Inventory Map creation software ,,
, ESRI ArcView Office suite software ,,
, Microsoft Office Spreadsheet software ,,
, Microsoft Excel ,,
Fishers and Related Fishing Workers,,,Operation and Control
,,,Speaking
,,,Active Listening
,,,Critical Thinking
,,,Judgment and Decision Making
,,,Operation Monitoring
Forest and Conservation Technicians,Analytical or scientific software ,Public Safety and Security,Active Listening
, Assisi Software Forest,English Language,Critical Thinking
, Forest Vegetation Simulator FVS,Customer and Personal Service,Reading Comprehension
, HARVEST,Law and Government,Judgment and Decision Making
, LoggerPC software  (see all 6 examples)Computer aided design CAD software   ,Administration and Management,Speaking
, Autodesk AutoCAD LT Data base user interface and query software ,Geography,Time Management
, Forest EcoSurvey,Education and Training,Coordination
, LJI Technologies Lumberjack,Mathematics,Instructing
, Microsoft Access  ,Biology,Monitoring
, PhoenixPRO Forest Activity Tracking  (see all 9 examples)Desktop publishing softwareGraphics or photo imaging software ,Mechanical,Social Perceptiveness
, Computer graphics software Internet browser software ,Computers and Electronics,Active Learning
, Web browser software Inventory management software ,Personnel and Human Resources,Complex Problem Solving
, Assisi Software Forest Inventory,,Learning Strategies
, Haglof Sweden AB TCruise Forest Inventory Map creation software ,,Service Orientation
, Allegro Landmark,,Systems Analysis
, Ben Meadows Yeoman Expedition,,Writing
, ESRI ArcGIS software  ,,
, ESRI ArcView  (see all 9 examples)Office suite software ,,
, Microsoft Office Presentation software ,,
, Corel Presentation,,
, Microsoft PowerPoint Spreadsheet software ,,
, Microsoft Excel Word processing software ,,
, Microsoft Word ,,
Forest and Conservation Workers,,Geography,Coordination
,,English Language,Speaking
,,Public Safety and Security,Active Listening
,,Clerical,Critical Thinking
,,Biology,Judgment and Decision Making
,,Law and Government,Monitoring
,,Mathematics,Active Learning
,,Computers and Electronics,Complex Problem Solving
,,Economics and Accounting,Time Management
,,Administration and Management,
,,Customer and Personal Service,
,,Education and Training,
Foresters,Analytical or scientific software ,Mathematics,Monitoring
, Forest vegetation simulators,English Language,Reading Comprehension
, Forest yield software Calendar and scheduling software ,Computers and Electronics,Speaking
, Work scheduling software Data base user interface and query software ,Law and Government,Critical Thinking
, Data entry software  ,Customer and Personal Service,Judgment and Decision Making
, Microsoft Access  ,Biology,Complex Problem Solving
, SMART Electronic mail software ,Administration and Management,Coordination
, IBM Notes  ,Clerical,Time Management
, Microsoft Outlook Enterprise resource planning ERP software   ,Geography,Active Listening
, Trimble CENGEA Internet browser software ,Public Safety and Security,Systems Analysis
, Web browser software Inventory management software ,,Systems Evaluation
, Forest Metrix,,Writing
, Fountains Forestry TwoDog Map creation software ,,Management of Personnel Resources
, ESRI ArcGIS software  ,,Social Perceptiveness
, ESRI ArcView,,Negotiation
, Geographic information system GIS software  ,,Instructing
, Mapping software Office suite software ,,Operation Monitoring
, Microsoft Office Presentation software ,,Active Learning
, Microsoft PowerPoint Spreadsheet software ,,Mathematics
, Microsoft Excel Word processing software ,,Operation and Control
, Microsoft Word ,,Persuasion
,,,Service Orientation
Geological Sample Test Technicians,Analytical or scientific software ,,Critical Thinking
, Landmark GeoGraphix,,Reading Comprehension
, Parallel Geoscience SPW,,Monitoring
, Seismic Micro-Technology KINGDOM Computer aided design CAD software   ,,Science
, Autodesk AutoCAD  ,,Writing
, Midland Valley 2DMove Graphics or photo imaging software ,,Active Learning
, Adobe Systems Adobe Illustrator  ,,Active Listening
, Corel CorelDraw Graphics Suite Map creation software ,,Judgment and Decision Making
, Golden Software Surfer,,Operation Monitoring
, Leica Geosystems ERDAS IMAGINE,,Speaking
, Martin D Adamiker's TruFlite,,Complex Problem Solving
, Surface III  (see all 6 examples)Presentation software ,,Quality Control Analysis
, Microsoft PowerPoint Spreadsheet software ,,Systems Analysis
, Microsoft Excel Word processing software ,,Time Management
, Microsoft Word ,,
Geophysical Data Technicians,Analytical or scientific software ,Computers and Electronics,Reading Comprehension
, IHS PETRA,Engineering and Technology,Active Listening
, Landmark GeoGraphix,Mathematics,Critical Thinking
, Schlumberger GeoFrame,Physics,Speaking
, Techsia Techlog  (see all 10 examples)Computer aided design CAD software   ,English Language,Writing
, Autodesk AutoCAD  ,Geography,Time Management
, Dynamic Graphics EarthVision,Administration and Management,Coordination
, Midland Valley 2DMove Data base reporting software ,Customer and Personal Service,Science
, SAP BusinessObjects Crystal Reports Data base user interface and query software ,,Social Perceptiveness
, Database software,,
, Microsoft Access Graphics or photo imaging software ,,
, Adobe Systems Adobe Illustrator  ,,
, Corel CorelDraw Graphics Suite Map creation software ,,
, Clark Labs IDRISI Andes,,
, ESRI ArcGIS software  ,,
, Leica Geosystems ERDAS IMAGINE,,
, Surface III  (see all 7 examples)Mobile location based services software ,,
, Juniper Systems LandMark Mobile Office suite software ,,
, Microsoft Office Presentation software ,,
, Microsoft PowerPoint Spreadsheet software ,,
, Microsoft Excel Word processing software ,,
, Microsoft Word ,,
Log Graders and Scalers,,,Active Listening
,,,Critical Thinking
,,,Speaking
,,,Active Learning
,,,Coordination
,,,Judgment and Decision Making
,,,Monitoring
,,,Writing
Logging Equipment Operators,,,Operation and Control
,,,Operation Monitoring
,,,Equipment Maintenance
,,,Active Listening
,,,Monitoring
,,,Quality Control Analysis
,,,Troubleshooting
Natural Sciences Managers,Analytical or scientific software ,Administration and Management,Writing
, Laboratory information management system LIMS,English Language,Reading Comprehension
, SAS  ,Customer and Personal Service,Speaking
, STATISTICA,Mathematics,Active Listening
, The MathWorks MATLAB  (see all 6 examples)Data base management system software ,Biology,Critical Thinking
, Oracle DBMS Data base user interface and query software ,Law and Government,Complex Problem Solving
, Microsoft Access  ,Chemistry,Judgment and Decision Making
